Date;Baden-Württemberg;Bavaria;Berlin;Brandenburg;Bremen;Hamburg;Hesse;Lower Saxony;Mecklenburg-Vorpommern;North Rhine-Westphalia;Rhineland-Palatinate;Saarland;Saxony;Saxony-Anhalt;Schleswig-Holstein;Thuringia;"Germany; repatriated";Total infections;Total deaths;New cases;New deaths
2020.02.24;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;0
2020.02.25;1;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;18;0;2;0
2020.02.26;3;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;21;0;3;0
2020.02.27;6;14;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;26;0;5;0
2020.02.28;10;15;0;0;0;0;0;0;0;25;0;0;0;0;1;0;2;53;0;27;0
2020.02.29;14;15;0;0;0;0;3;0;0;30;1;0;0;0;1;0;2;66;0;13;0
2020.03.01;15;19;0;0;1;1;8;1;0;66;2;0;0;0;2;0;2;117;0;51;0
2020.03.02;19;25;1;0;1;1;10;1;0;86;2;0;0;0;2;0;2;150;0;33;0
2020.03.03;26;35;3;1;1;2;10;1;0;101;2;0;1;0;2;1;2;188;0;38;0
2020.03.04;44;48;6;1;2;2;12;4;3;111;2;1;1;0;2;1;2;240;0;52;0
2020.03.05;65;52;9;1;3;8;14;10;4;175;7;1;1;0;3;1;;349;0;109;0
2020.03.06;91;79;15;1;3;8;15;18;5;281;8;1;1;0;7;1;0;534;0;185;0
2020.03.07;116;117;24;2;4;12;16;19;5;346;10;2;2;0;8;1;0;684;0;150;0
2020.03.08;182;148;28;2;4;13;17;21;7;392;15;4;4;0;8;2;0;847;0;163;0
2020.03.09;199;256;40;6;4;17;20;33;8;484 ;19;5;10;0;9;2;0;1112;2;265;2
2020.03.10;237;314;48;9;4;29;35;49;13;648  ;25;7;22;7;9;4;0;1460;2;348 ;0
2020.03.11;277;366;90;24;21;48;48;75;17;801  ;25;14;26;15;27;10;0;1884 ;3;424 ;1
2020.03.12;454 ;500 ;137;30;38;88;99;129;23;688  ;52;14;45;27;31;14;0;2369;5;485;2
2020.03.13;454 ;558 ;174;44;42;99;148;230;33;936 ;102;40;83;42;48;29;0;3062;5;693;0
2020.03.14;569 ;681 ;216;61;50;158;203;253;45;1154 ;121;40;93;45;60;46;0;3795;8;733;3
2020.03.15;827 ;886 ;283;84;53;162;286;287;50;1407 ;168;32;130;47;103;51;0;4838;12;1043;4
2020.03.16;1105 ;1067 ;300;94;56;260;342;391;51;1541 ;325;85;140;77;123;55;0;6012 ;13;1174 ;1
2020.03.17;1479 ;1109 ;345;73;57;310;373;325;45;2105 ;442;75;182;58;127;51;0;7156;12;1144;0
