Date;Baden-Württemberg;Bavaria;Berlin;Brandenburg;Bremen;Hamburg;Hesse;Lower Saxony;Mecklenburg-Vorpommern;North Rhine-Westphalia;Rhineland-Palatinate;Saarland;Saxony;Saxony-Anhalt;Schleswig-Holstein;Thuringia;"Germany; repatriated";Total infections;Total deaths;New cases;New deaths
2020.02.24;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;0
2020.02.25;1;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;18;0;2;0
2020.02.26;3;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;21;0;3;0
2020.02.27;6;14;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;26;0;5;0
2020.02.28;10;15;0;0;0;0;0;0;0;25;0;0;0;0;1;0;2;53;0;27;0
2020.02.29;14;15;0;0;0;0;3;0;0;30;1;0;0;0;1;0;2;66;0;13;0
2020.03.01;15;19;0;0;1;1;8;1;0;66;2;0;0;0;2;0;2;117;0;51;0
2020.03.02;19;25;1;0;1;1;10;1;0;86;2;0;0;0;2;0;2;150;0;33;0
2020.03.03;26;35;3;1;1;2;10;1;0;101;2;0;1;0;2;1;2;188;0;38;0
2020.03.04;44;48;6;1;2;2;12;4;3;111;2;1;1;0;2;1;2;240;0;52;0
2020.03.05;65;52;9;1;3;8;14;10;4;175;7;1;1;0;3;1;;349;0;109;0
2020.03.06;91;79;15;1;3;8;15;18;5;281;8;1;1;0;7;1;0;534;0;185;0
2020.03.07;116;117;24;2;4;12;16;19;5;346;10;2;2;0;8;1;0;684;0;150;0
2020.03.08;182;148;28;2;4;13;17;21;7;392;15;4;4;0;8;2;0;847;0;163;0
2020.03.09;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020.03.10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020.03.11;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020.03.12;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020.03.13;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020.03.14;2;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020.03.15;3;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020.03.16;3;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020.03.17;2;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020.03.18;2;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020.03.19;6;8;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020.03.20;10;12;0;0;0;0;1;0;0;6;1;0;0;0;1;0;0;0;0;0;0
2020.03.21;16;19;1;0;0;0;2;0;0;6;1;0;0;0;1;0;0;0;0;0;0
2020.03.22;21;21;1;0;0;0;2;1;0;6;2;0;0;0;1;0;0;0;0;0;0
2020.03.23;21;26;1;0;0;0;3;4;0;28;2;0;0;0;1;0;0;0;0;0;0
2020.03.24;30;30;1;0;0;0;4;6;0;33;5;1;1;0;2;1;0;0;0;0;0
2020.03.25;37;37;2;1;0;0;4;7;0;43;5;2;6;0;3;1;0;0;0;0;0
2020.03.26;56;47;4;1;1;0;6;8;0;53;6;2;7;1;3;1;0;0;0;0;0
2020.03.27;70;55;8;1;1;2;7;10;0;72;8;2;7;2;4;4;0;0;0;0;0
2020.03.28;101;77;8;1;2;2;9;12;0;80;11;2;9;2;4;5;0;0;0;0;0
2020.03.29;101;107;9;1;2;4;9;21;1;98;12;2;9;2;6;5;0;0;0;0;0
2020.03.30;119;127;11;2;2;5;13;26;1;101;18;7;9;2;7;5;0;0;0;0;0
2020.03.31;165;162;13;2;4;9;17;34;1;117;19;7;12;6;9;6;0;0;0;0;0
2020.04.01;197;225;16;4;5;14;21;42;3;134;23;8;17;7;10;6;0;0;0;0;0
2020.04.02;241;268;19;7;6;14;27;45;3;161;26;11;18;8;11;7;0;0;0;0;0
2020.04.03;285;307;20;9;6;16;33;65;4;178;26;12;21;11;15;9;0;0;0;0;0
2020.04.04;316;349;22;12;6;16;42;85;5;200;29;14;24;11;17;10;0;0;0;0;0
